64.443	57.245	0.15
73.4	61.461	0.15
74.8815	59.0185	0.15
75.3355	58.4445	0.15
65.894	52.4905	0.15
65.1185	52.1845	0.15
53.607	48.9477	0.15
52.8615	48.7715	0.15
40.253	47.7168	0.15
39.4479	47.7498	0.15
21.7682	50.183	0.15
21.108	50.194	0.15
2.39068	62.8125	0.15
2.22804	64.7745	0.15
3.61344	80.2735	0.15
4.06588	82.8365	0.15
16.0085	98.66	0.15
17.2191	98.4335	0.15
32.9644	80.1695	0.15
33.1758	78.162	0.15
28.9062	73.836	0.15
28.0441	72.954	0.15
30.1476	64.6865	0.15
30.8363	64.029	0.15
41.0108	56.9735	0.15
41.7653	56.7715	0.15
52.4445	54.337	0.15
53.2135	54.5025	0.15
63.7615	57.014	0.15
64	57.5	0.15
73.5	62	0.15
74.0085	62.0125	0.15
79.699	70.358	0.15
81.739	75.0885	0.15
82.854	82.1515	0.15
82.82	83.041	0.15
76.556	106.139	0.15
76.117	107.177	0.15
70.187	119.798	0.15
69.828	120.756	0.15
63.844	134.094	0.15
63.4425	135.02	0.15
57.8875	149.798	0.15
57.536	150.725	0.15
53.635	167.768	0.15
53.4175	168.655	0.15
52.0435	185.524	0.15
51.9995	186.256	0.15
50.113	196.852	0.15
49.9158	197.981	0.15
46.5495	209.531	0.15
45.7803	210.079	0.15
39.8135	210.331	0.15
38.4243	195.713	0.15
38.4906	194.92	0.15
40.7414	184.216	0.15
40.9404	183.375	0.15
46.6564	166.911	0.15
46.8786	166.152	0.15
51.72	148.531	0.15
52.0855	147.675	0.15
57.202	149.547	0.15
62.7275	134.614	0.15
63.0865	133.844	0.15
69.099	120.397	0.15
69.4905	119.558	0.15
75.4435	106.832	0.15
75.6695	105.854	0.15
81.2205	86.316	0.15
82.854	82.1515	0.15
85.207	82.3265	0.15
86.1425	82.177	0.15
77.624	57.609	0.15
77.0555	56.8195	0.15
67.39	49.6046	0.15
66.6915	49.1386	0.15
55.2	43.6643	0.15
54.44	43.4282	0.15
41.5757	39.0939	0.15
40.8033	38.6686	0.15
22.4881	33.8167	0.15
21.6787	33.3742	0.15
14.2863	29.3234	0.15
13.7629	30.2084	0.15
2.39068	62.8125	0.15
1.5	64	0.15
3	81	0.15
3.79639	81.4425	0.15
16.2594	97.791	0.15
17.6954	96.691	0.15
32.8145	79.072	0.15
28.3188	74.3935	0.15
28.6369	73.0745	0.15
30.894	65.1435	0.15
31.2544	64.5935	0.15
41.2674	57.7995	0.15
41.9797	57.488	0.15
52.31	55.198	0.15
53.3	55.216	0.15
61.327	57.098	0.15
63.7615	57.014	0.15
64.871	52.8785	0.15
53.5105	49.6546	0.15
52.6955	49.4835	0.15
40.2665	48.388	0.15
39.5423	48.4646	0.15
22.0508	51.1375	0.15
21.5476	51.5095	0.15
2.50782	63.7245	0.15
2.22804	64.7745	0.15
26.9657	73.6155	0.15
28.3188	74.3935	0.15
17.6954	96.691	0.15
16.0085	98.66	0.15
13.0113	112.356	0.15
13.6129	112.977	0.15
26.5684	103.619	0.15
27.2654	102.906	0.15
32.5186	93.4445	0.15
32.9644	80.1695	0.15
33.1758	78.162	0.15
34.4275	72.9805	0.15
34.6478	72.1685	0.15
28.6369	73.0745	0.15
27.2629	74.1525	0.15
16.2594	97.791	0.15
17.2191	98.4335	0.15
27.2654	102.906	0.15
27.5	103.5	0.15
33	93.5	0.15
33.5	79	0.15
35	72.5	0.15
34.6478	72.1685	0.15
36.432	68.589	0.15
36.9117	67.918	0.15
31.2544	64.5935	0.15
30.1476	64.6865	0.15
21.5476	51.5095	0.15
21.7682	50.183	0.15
22.4095	34.3767	0.15
21.5589	34.3319	0.15
13.7629	30.2084	0.15
14.2863	29.3234	0.15
36.834	11.283	0.15
38.5384	14.0368	0.15
39.0915	14.7247	0.15
48.4325	25.9534	0.15
48.9825	26.4566	0.15
59.257	35.8222	0.15
59.8505	36.3028	0.15
69.6975	44.9367	0.15
70.2815	45.5628	0.15
79.226	54.8605	0.15
79.6125	55.899	0.15
87.101	82.2065	0.15
87.0745	83.464	0.15
80.42	107.856	0.15
79.602	111.72	0.15
77.0405	122.8	0.15
76.785	123.721	0.15
72.351	137.094	0.15
72.114	137.996	0.15
69.739	151.911	0.15
69.653	152.811	0.15
70.514	167.012	0.15
70.734	167.84	0.15
73.6	181.627	0.15
73.7205	182.52	0.15
74.954	195.321	0.15
74.9215	196.236	0.15
73.438	209.865	0.15
73.3465	210.738	0.15
72.2935	225.007	0.15
71.801	225.768	0.15
58.936	234.53	0.15
57.957	234.547	0.15
42.2538	225.672	0.15
41.813	224.924	0.15
39.8107	211.183	0.15
39.0416	210.363	0.15
37.6913	195.638	0.15
37.6974	194.782	0.15
40.0125	184.077	0.15
40.2009	183.162	0.15
45.7957	166.786	0.15
46.0452	165.899	0.15
50.35	151.308	0.15
51.72	148.531	0.15
56.864	150.439	0.15
57.536	150.725	0.15
60.3615	151.445	0.15
61.243	150.64	0.15
66.005	135.958	0.15
66.2995	135.091	0.15
71.922	121.687	0.15
72.3005	120.822	0.15
78.072	107.998	0.15
78.515	107.061	0.15
86.108	83.3795	0.15
84.048	78.2155	0.15
76.98	58.321	0.15
76.3745	57.2805	0.15
67.0135	50.2555	0.15
66.268	49.8293	0.15
54.9345	44.4091	0.15
54.155	44.0806	0.15
41.2467	39.7221	0.15
40.5434	39.6536	0.15
22.4095	34.3767	0.15
21.6787	33.3742	0.15
38.5384	14.0368	0.15
39.9163	14.2157	0.15
48.7832	25.2098	0.15
49.5856	25.9448	0.15
59.9525	35.2771	0.15
60.3505	35.8222	0.15
70.2955	44.5144	0.15
70.775	45.087	0.15
79.8875	54.506	0.15
80.3915	55.1845	0.15
88.128	82.281	0.15
88.0815	83.4765	0.15
81.241	108.219	0.15
80.8355	109.183	0.15
77.854	123.031	0.15
77.5395	124.127	0.15
73.1235	137.231	0.15
72.8605	138.291	0.15
70.5095	151.945	0.15
70.4735	152.893	0.15
71.3345	166.806	0.15
71.433	167.716	0.15
74.3185	181.527	0.15
74.447	182.446	0.15
75.693	195.262	0.15
75.7245	196.24	0.15
74.1925	209.981	0.15
74.096	210.906	0.15
72.9425	225.322	0.15
72.5885	226.109	0.15
58.925	235.366	0.15
58.0535	235.423	0.15
41.5168	226.107	0.15
41.2002	225.292	0.15
39.1532	211.314	0.15
36.4411	212	0.15
35.6717	212.059	0.15
36.5181	227.3	0.15
37.6314	228.349	0.15
58.33	239.534	0.15
59.263	239.516	0.15
76.0335	227.928	0.15
77.053	226.8	0.15
77.3895	211.417	0.15
77.4315	210.432	0.15
77.995	196.154	0.15
78.082	195.221	0.15
77.409	182.334	0.15
77.407	181.345	0.15
74.7365	167.023	0.15
74.628	166.064	0.15
73.191	152.868	0.15
73.145	152.04	0.15
74.9575	138.656	0.15
75.103	137.795	0.15
79.1755	124.584	0.15
79.435	123.7	0.15
83.672	110.284	0.15
83.233	108.99	0.15
89.176	83.578	0.15
89.225	82.305	0.15
84.17	52.886	0.15
84.643	51.548	0.15
78.8125	39.3148	0.15
78.4975	38.6219	0.15
74.2215	27.24	0.15
74.1115	26.5036	0.15
71.7515	15.487	0.15
71.7775	14.8803	0.15
70.806	5.3255	0.15
70.9135	4.40728	0.15
70.9765	2.47072	0.15
69.899	2.66064	0.15
37.8553	10.7867	0.15
39.3338	13.3694	0.15
39.9163	14.2157	0.15
69.9445	5.25255	0.15
69.8145	4.44803	0.15
69.899	2.66064	0.15
70.9765	2.47072	0.15
90.8165	5.31685	0.15
90.463	6.65965	0.15
90.3855	7.62075	0.15
88.6415	15.313	0.15
88.345	16.0652	0.15
86.971	25.5349	0.15
86.934	26.1712	0.15
86.6735	36.7709	0.15
86.743	37.532	0.15
88.546	50.3185	0.15
88.5515	51.2755	0.15
91.348	82.3665	0.15
91.361	83.593	0.15
86.2	110.092	0.15
86.088	111.141	0.15
81.634	124.448	0.15
81.384	125.337	0.15
78.3055	138.419	0.15
78.1575	139.299	0.15
77.837	151.839	0.15
77.807	152.655	0.15
81.1335	163.719	0.15
81.8315	164.89	0.15
83.5065	166.198	0.15
83.939	165.409	0.15
88.352	159.133	0.15
89.4585	157.262	0.15
84.4225	151.219	0.15
84.1815	150.494	0.15
82.496	139.68	0.15
82.5405	138.861	0.15
84.3685	126.186	0.15
84.585	125.262	0.15
88.3085	111.842	0.15
88.4695	110.751	0.15
92.8705	83.787	0.15
92.9805	82.3115	0.15
93.63	50.8065	0.15
93.793	49.8852	0.15
95.85	38.4949	0.15
96.0435	37.8137	0.15
99.086	29.1716	0.15
99.2915	28.5624	0.15
102.766	20.8571	0.15
103.26	20.2151	0.15
107.305	12.15	0.15
91.118	7.7033	0.15
89.4155	15.6088	0.15
89.2335	16.1904	0.15
87.7915	25.5091	0.15
87.6625	26.2164	0.15
87.459	36.733	0.15
87.4315	37.4664	0.15
89.225	50.1125	0.15
89.5125	51.066	0.15
92.4505	82.311	0.15
92.3485	83.724	0.15
87.1825	110.364	0.15
86.799	111.379	0.15
82.3795	124.656	0.15
82.08	125.576	0.15
79.0115	138.524	0.15
78.8925	139.369	0.15
78.5085	151.774	0.15
78.6385	152.492	0.15
81.862	163.319	0.15
82.248	163.955	0.15
83.939	165.409	0.15
83.5065	166.198	0.15
80.1825	177.929	0.15
79.196	181.536	0.15
77.407	181.345	0.15
76.562	181.337	0.15
74.075	167.162	0.15
73.916	166.265	0.15
72.421	152.984	0.15
72.3685	152.035	0.15
74.1255	138.572	0.15
74.3775	137.55	0.15
78.3675	124.439	0.15
78.6925	123.319	0.15
83.037	110.046	0.15
84.057	109.305	0.15
90.107	83.585	0.15
90.1655	82.3265	0.15
85.044	52.551	0.15
84.037	51.854	0.15
78.192	39.6765	0.15
77.7925	38.9542	0.15
73.6705	27.4623	0.15
73.2795	26.8033	0.15
71.036	15.6555	0.15
70.855	14.7234	0.15
69.9445	5.25255	0.15
70.9135	4.40728	0.15
90.463	6.65965	0.15
91.502	6.86615	0.15
91.857	5.5977	0.15
103.302	10.4453	0.15
108.037	12.7942	0.15
103.847	20.5284	0.15
103.668	21.302	0.15
100.066	28.711	0.15
99.885	29.4639	0.15
96.8095	38.1031	0.15
96.569	38.7032	0.15
94.5445	49.9783	0.15
94.5845	50.8835	0.15
93.9705	82.4535	0.15
93.8725	83.724	0.15
89.424	111.094	0.15
89.0475	112.052	0.15
85.298	125.473	0.15
85.118	126.308	0.15
83.284	138.874	0.15
83.301	139.608	0.15
84.827	150.246	0.15
85.129	150.944	0.15
89.962	156.896	0.15
97.4365	149.358	0.15
98.1565	148.815	0.15
94.8015	144.733	0.15
94.511	144.19	0.15
91.0185	138.229	0.15
90.841	137.535	0.15
89.856	126.84	0.15
89.7955	126.088	0.15
92.177	112.707	0.15
92.4625	111.835	0.15
95.6995	83.7105	0.15
95.931	82.4885	0.15
101.82	53.1495	0.15
102.174	52.3495	0.15
107.215	44.1079	0.15
107.64	43.6223	0.15
112.542	37.4607	0.15
113.015	36.7811	0.15
117.796	31.4511	0.15
118.417	31.1303	0.15
124.409	25.1629	0.15
123.834	24.6166	0.15
108.037	12.7942	0.15
103.302	10.4453	0.15
91.502	6.86615	0.15
90.3855	7.62075	0.15
70.806	5.3255	0.15
69.8145	4.44803	0.15
39.3338	13.3694	0.15
39.0915	14.7247	0.15
22.4881	33.8167	0.15
21.5589	34.3319	0.15
