170.748	189.419	0.15
183.849	181.396	0.15
177.804	175.733	0.15
177.368	175.303	0.15
169.821	169.527	0.15
169.275	169.075	0.15
160.653	163.093	0.15
160.139	162.601	0.15
148.238	153.602	0.15
147.26	153.54	0.15
130.258	156.702	0.15
128.634	156.994	0.15
112.364	163.82	0.15
111.65	164.227	0.15
102.383	171.278	0.15
101.912	171.746	0.15
94.7195	178.498	0.15
94.3235	178.982	0.15
88.996	185.279	0.15
88.6695	185.764	0.15
86.145	189.861	0.15
99.7115	194.96	0.15
100.492	195.2	0.15
101.398	192.756	0.15
101.604	192.064	0.15
104.365	186.643	0.15
104.727	185.976	0.15
109.665	179.643	0.15
110.079	179.206	0.15
117.466	172.549	0.15
118.031	172.212	0.15
128.14	168.175	0.15
128.883	168.191	0.15
138.022	172.204	0.15
138.704	172.623	0.15
145.924	179.12	0.15
146.488	179.617	0.15
151.208	185.999	0.15
151.662	186.536	0.15
154.34	191.779	0.15
154.56	192.458	0.15
155.481	195.28	0.15
156.339	194.987	0.15
169.889	189.86	0.15
167.35	185.543	0.15
166.946	184.973	0.15
161.7	178.81	0.15
161.262	178.32	0.15
154.192	171.649	0.15
153.632	171.149	0.15
144.463	164.23	0.15
143.865	163.831	0.15
129.405	157.046	0.15
127.664	156.661	0.15
111.944	163.262	0.15
111.213	163.684	0.15
101.957	170.799	0.15
101.31	171.297	0.15
94.195	178.004	0.15
93.658	178.49	0.15
88.3245	184.787	0.15
87.8935	185.286	0.15
85.359	189.409	0.15
72.246	181.465	0.15
77.8295	175.833	0.15
78.428	175.415	0.15
86.138	169.585	0.15
86.6035	169.173	0.15
95.2375	163.085	0.15
95.807	162.651	0.15
105.957	155.436	0.15
106.583	154.982	0.15
108.174	153.025	0.15
127.664	156.661	0.15
130.258	156.702	0.15
144.074	163.185	0.15
144.78	163.678	0.15
154.044	170.599	0.15
154.573	171.06	0.15
161.767	177.758	0.15
162.229	178.208	0.15
167.636	184.487	0.15
167.984	185.115	0.15
170.748	189.419	0.15
170.5	190	0.15
184.5	181.5	0.15
184.397	180.899	0.15
192.78	174.055	0.15
183.986	167.327	0.15
183.429	166.874	0.15
175.023	161.712	0.15
174.512	161.216	0.15
165.719	155.662	0.15
165.178	155.079	0.15
157.708	148.601	0.15
158.208	148.081	0.15
167.634	140.069	0.15
172.817	144.823	0.15
173.371	145.204	0.15
181.165	150.746	0.15
181.733	151.094	0.15
189.93	156.555	0.15
190.52	156.898	0.15
198.849	162.386	0.15
199.478	162.762	0.15
202.833	164.602	0.15
203.382	163.994	0.15
209.465	157.44	0.15
205.993	153.903	0.15
205.497	153.44	0.15
198.256	146.782	0.15
197.81	146.359	0.15
190.229	139.766	0.15
189.774	139.361	0.15
182.068	133.455	0.15
181.581	133.086	0.15
175.163	129.091	0.15
175.587	128.369	0.15
